Wall time,Step,Value
1684419176.8957913,10,3.5859375
1684419178.5135987,20,4.91796875
1684419180.1446283,30,5.125
1684419181.7961144,40,3.98046875
1684419183.4354262,50,4.0
1684419185.0842571,60,3.388671875
1684419186.7127798,70,3.33203125
1684419188.340982,80,4.29296875
1684419189.9699562,90,3.619140625
1684419191.5963767,100,3.171875
1684419193.2243178,110,4.1953125
1684419194.8536453,120,3.3828125
1684419196.4861312,130,4.9609375
1684419198.1217554,140,4.08984375
1684419199.7588117,150,3.041015625
1684419201.3920646,160,3.4296875
1684419203.0203927,170,3.556640625
1684419204.6455703,180,3.482421875
1684419206.2732072,190,7.703125
1684419207.9270105,200,2.6875
1684419209.558212,210,5.828125
1684419211.1948295,220,3.19921875
1684419212.829655,230,3.09765625
1684419214.4541922,240,4.0703125
1684419216.0785005,250,3.705078125
1684419217.7091718,260,3.21875
1684419219.3336928,270,6.29296875
1684419220.9592,280,2.44921875
1684419222.5921671,290,3.3359375
1684419224.2417312,300,2.70703125
1684419225.8846312,310,3.361328125
1684419227.5141397,320,3.23046875
1684419229.1438346,330,2.658203125
1684419230.7666578,340,2.326171875
1684419232.3919954,350,4.1484375
1684419234.0181627,360,3.234375
1684419235.6539376,370,2.77734375
1684419237.3015172,380,2.572265625
1684419238.936807,390,2.728515625
1684419240.5675478,400,4.2421875
1684419242.2072031,410,3.84765625
1684419243.8460832,420,2.1015625
1684419245.4823387,430,2.26171875
1684419247.1148477,440,3.486328125
1684419248.7589216,450,2.44921875
1684419250.3986287,460,5.94921875
1684419252.0384457,470,2.73046875
1684419253.6743433,480,2.708984375
1684419255.3157923,490,2.15625
1684419256.9535902,500,3.826171875
1684419258.592634,510,4.47265625
1684419260.2352464,520,2.724609375
1684419261.880389,530,3.498046875
1684419263.5201886,540,2.50390625
1684419265.1670067,550,2.650390625
1684419266.802464,560,2.189453125
1684419268.4398446,570,2.48046875
1684419270.0750108,580,2.8359375
1684419271.7120676,590,2.38671875
1684419273.3499956,600,2.546875
1684419274.9937012,610,4.76953125
1684419276.6323824,620,3.83203125
1684419278.2752264,630,2.58984375
1684419279.9084034,640,6.421875
1684419281.5585058,650,2.486328125
1684419283.1964486,660,2.060546875
1684419284.832424,670,2.8828125
1684419286.4700933,680,2.748046875
1684419288.1066785,690,2.490234375
1684419289.7446847,700,2.564453125
1684419291.3849568,710,2.361328125
1684419293.02612,720,2.52734375
1684419294.6626253,730,3.23046875
1684419296.2996707,740,2.208984375
1684419297.9318504,750,5.08203125
1684419299.5673106,760,3.025390625
1684419301.2066195,770,2.271484375
1684419302.8468723,780,2.1640625
1684419304.4894884,790,3.513671875
1684419306.1278508,800,1.7900390625
1684419307.7766714,810,2.724609375
1684419309.4208367,820,2.3671875
1684419311.0608797,830,2.6796875
1684419312.7012792,840,2.4140625
1684419314.33743,850,3.08984375
1684419315.9805682,860,2.224609375
1684419317.6186812,870,2.341796875
1684419319.2539504,880,2.791015625
1684419320.8920455,890,2.640625
1684419322.5380056,900,2.2890625
1684419324.1801684,910,3.087890625
1684419325.8182335,920,2.01953125
1684419327.450812,930,2.099609375
1684419329.0905068,940,2.658203125
1684419330.7310567,950,3.3203125
1684419332.375814,960,3.224609375
1684419334.0142312,970,1.978515625
1684419335.65825,980,1.8212890625
1684419337.3001513,990,4.3828125
1684419338.9356105,1000,1.740234375
1684419340.5777085,1010,2.5234375
1684419342.2267916,1020,3.60546875
1684419343.867092,1030,3.619140625
1684419345.5112,1040,2.3046875
1684419347.142454,1050,2.041015625
1684419348.781314,1060,2.8125
1684419350.4261348,1070,5.12109375
1684419352.0632415,1080,2.892578125
1684419353.6980486,1090,2.0234375
1684419355.332872,1100,3.42578125
1684419356.9772124,1110,2.564453125
1684419358.6207452,1120,2.046875
1684419360.2545195,1130,1.81640625
1684419361.8855672,1140,2.4609375
1684419363.5223796,1150,2.01953125
1684419365.1602201,1160,2.537109375
1684419366.7902179,1170,2.392578125
1684419368.4198601,1180,3.19140625
1684419370.0569267,1190,2.357421875
1684419371.6913612,1200,2.02734375
1684419373.3271768,1210,1.841796875
1684419374.964681,1220,2.90234375
1684419376.5986128,1230,2.685546875
1684419378.2272835,1240,2.8984375
1684419379.8567622,1250,2.3203125
1684419381.488605,1260,2.84375
1684419383.1279476,1270,2.048828125
1684419384.7606797,1280,2.134765625
1684419386.393866,1290,2.0703125
1684419388.0325518,1300,3.46484375
1684419389.6700065,1310,2.107421875
1684419391.309363,1320,2.2734375
1684419392.9451413,1330,3.06640625
1684419394.5792618,1340,2.37890625
1684419396.2130122,1350,3.42578125
1684419397.8547056,1360,2.23046875
1684419399.5037277,1370,2.447265625
1684419401.1386259,1380,4.4765625
1684419402.7727516,1390,2.361328125
1684419404.4083776,1400,3.322265625
1684419406.037221,1410,2.47265625
1684419407.6733432,1420,2.16796875
1684419409.3122542,1430,2.693359375
1684419410.950701,1440,2.04296875
1684419412.607891,1450,2.2734375
1684419414.257661,1460,3.017578125
1684419415.91019,1470,1.791015625
1684419417.5439565,1480,1.947265625
1684419419.1811872,1490,2.134765625
1684419420.8174372,1500,2.26171875
1684419422.4552343,1510,4.046875
1684419424.0963266,1520,1.8447265625
1684419425.7407258,1530,1.9267578125
1684419427.384702,1540,2.419921875
1684419429.0265954,1550,2.837890625
1684419430.6677206,1560,2.5703125
1684419432.3089309,1570,1.8427734375
1684419433.95296,1580,1.994140625
1684419435.6005476,1590,1.6796875
1684419437.2480562,1600,2.17578125
1684419438.9027007,1610,1.4580078125
1684419440.5523145,1620,1.953125
1684419442.2000756,1630,1.974609375
1684419443.8474984,1640,1.95703125
1684419445.496888,1650,1.90625
1684419447.144012,1660,2.0546875
1684419448.787644,1670,1.8935546875
1684419450.4283686,1680,1.7353515625
1684419452.078221,1690,2.041015625
1684419453.7241151,1700,1.5205078125
1684419455.3674333,1710,2.064453125
1684419457.0141695,1720,2.236328125
1684419458.6775305,1730,4.51171875
1684419460.3339145,1740,3.79296875
1684419461.9758315,1750,2.30078125
1684419463.621501,1760,3.931640625
1684419465.2885325,1770,1.8916015625
1684419466.9329948,1780,2.287109375
1684419468.571775,1790,2.748046875
1684419470.2194548,1800,3.12109375
1684419471.861859,1810,1.880859375
1684419473.5033941,1820,2.271484375
1684419475.1511774,1830,1.7216796875
1684419476.803902,1840,3.123046875
1684419478.459722,1850,3.0625
1684419480.1072772,1860,2.697265625
1684419481.7437797,1870,2.21875
1684419483.3881106,1880,1.8173828125
1684419485.04192,1890,1.9521484375
1684419486.6746123,1900,4.359375
1684419488.3114443,1910,2.05859375
1684419489.954127,1920,1.89453125
1684419491.5984583,1930,1.6884765625
1684419493.2335827,1940,1.431640625
1684419494.8764653,1950,2.0546875
1684419496.5213165,1960,2.6015625
1684419498.17138,1970,2.203125
1684419499.8099878,1980,1.802734375
1684419501.4489737,1990,2.720703125
1684419503.0892787,2000,2.708984375
1684419504.7300355,2010,2.232421875
1684419506.3737986,2020,1.529296875
1684419508.0109196,2030,2.404296875
1684419509.6486092,2040,2.7109375
1684419511.2885666,2050,2.162109375
1684419512.9279854,2060,1.6884765625
1684419514.5686502,2070,2.462890625
1684419516.2114944,2080,1.7666015625
1684419517.8525243,2090,2.1015625
1684419519.4941425,2100,2.0703125
1684419521.140563,2110,2.369140625
1684419522.7850795,2120,1.6962890625
1684419524.4308858,2130,2.373046875
1684419526.0825617,2140,2.07421875
1684419527.7335176,2150,1.7216796875
1684419529.3741581,2160,2.08984375
1684419531.0203538,2170,2.47265625
1684419532.6726034,2180,1.8056640625
1684419534.3243017,2190,1.9609375
1684419535.9661686,2200,1.8662109375
1684419537.6143422,2210,2.05859375
1684419539.2592266,2220,1.8798828125
1684419540.910654,2230,1.486328125
1684419542.5579126,2240,1.763671875
1684419544.2114785,2250,1.73046875
1684419545.8678114,2260,2.193359375
1684419547.5123858,2270,2.365234375
